fov,nucleus_id,area_px,area_um2,bbox_y0,bbox_y1,bbox_x0,bbox_x1,min_edge_distance_px,keep_nucleus,exclude_reason
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,1,3240,11.088090000000001,6,67,468,547,6,False,small_area;near_edge
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,2,17640,60.36849000000001,8,135,76,243,8,False,near_edge
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,3,25912,88.67734200000001,152,325,116,313,116,True,keep
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,4,20616,70.55310600000001,236,395,218,459,218,True,keep
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,5,10920,37.37097000000001,298,427,438,561,294,False,small_area
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,6,42312,144.802242,450,769,296,485,296,True,keep
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,7,44788,153.27573300000003,452,647,52,355,52,True,keep
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,8,34204,117.05463900000001,512,763,484,669,186,True,keep
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,9,18264,62.50397400000001,602,783,66,251,66,True,keep
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,10,32296,110.52498600000001,718,913,624,853,2,False,near_edge
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,11,33352,114.13888200000001,788,1009,460,683,172,True,keep
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,12,35768,122.40703800000001,852,1055,254,529,254,True,keep
